Name,Num,Guesses
Bulbasaur,3,Castform; Ditto; Bulbasaur
Ivysaur,3,Castform; Prinplup; Ivysaur
Venusaur,3,Castform; Mew; Venusaur
Mega Venusaur,3,Castform; Mew; Mega Venusaur
Charmander,3,Castform; Ditto; Charmander
Charmeleon,3,Castform; Frogadier; Charmeleon
Charizard,3,Castform; Mew; Charizard
Mega Charizard X,3,Castform; Mew; Mega Charizard X
Mega Charizard Y,3,Castform; Mew; Mega Charizard Y
Squirtle,3,Castform; Ditto; Squirtle
Wartortle,3,Castform; Galarian Corsola; Wartortle
Blastoise,3,Castform; Mew; Blastoise
Mega Blastoise,4,Castform; Mew; Mega Altaria; Mega Blastoise
Caterpie,4,Castform; Ditto; Cosmog; Caterpie
Metapod,4,Castform; Ditto; Cascoon; Metapod
Butterfree,2,Castform; Butterfree
Weedle,4,Castform; Ditto; Bunnelby; Weedle
Kakuna,4,Castform; Ditto; Spewpa; Kakuna
Beedrill,3,Castform; Togedemaru; Beedrill
Mega Beedrill,3,Castform; Togedemaru; Mega Beedrill
Pidgey,4,Castform; Ditto; Bunnelby; Pidgey
Pidgeotto,4,Castform; Poliwag; Stunky; Pidgeotto
Pidgeot,2,Castform; Pidgeot
Mega Pidgeot,5,Castform; Mew; Sandy Shocks; Naganadel; Mega Pidgeot
Rattata,3,Castform; Poliwag; Rattata
Alolan Rattata,4,Castform; Poliwag; Rattata; Alolan Rattata
Raticate,3,Castform; Alolan Dugtrio; Raticate
Alolan Raticate,3,Castform; Maushold Family of Three; Alolan Raticate
Spearow,3,Castform; Wattrel; Spearow
Fearow,3,Castform; Fletchinder; Fearow
Ekans,3,Castform; Ditto; Ekans
Arbok,3,Castform; Togedemaru; Arbok
Pikachu,3,Castform; Boltund; Pikachu
Raichu,3,Castform; Electabuzz; Raichu
Alolan Raichu,3,Castform; Electabuzz; Alolan Raichu
Sandshrew,4,Castform; Tyrunt; Alolan Geodude; Sandshrew
Alolan Sandshrew,4,Castform; Tyrunt; Alolan Geodude; Alolan Sandshrew
Sandslash,3,Castform; Donphan; Sandslash
Alolan Sandslash,3,Castform; Donphan; Alolan Sandslash
Nidoran♀,4,Castform; Ditto; Cascoon; Nidoran♀
Nidorina,3,Castform; Gulpin; Nidorina
Nidoqueen,4,Castform; Mew; Glalie; Nidoqueen
Nidoran♂,4,Castform; Ditto; Fletchling; Nidoran♂
Nidorino,3,Castform; Karrablast; Nidorino
Nidoking,4,Castform; Mew; Quaquaval; Nidoking
Clefairy,3,Castform; Gulpin; Clefairy
Clefable,2,Castform; Clefable
Vulpix,3,Castform; Ditto; Vulpix
Alolan Vulpix,4,Castform; Ditto; Vulpix; Alolan Vulpix
Ninetales,3,Castform; Mew; Ninetales
Alolan Ninetales,3,Castform; Sigilyph; Alolan Ninetales
Jigglypuff,3,Castform; Shellos; Jigglypuff
Wigglytuff,2,Castform; Wigglytuff
Zubat,4,Castform; Ditto; Bunnelby; Zubat
Golbat,3,Castform; Maushold Family of Three; Golbat
Oddish,3,Castform; Poltchageist; Oddish
Gloom,2,Castform; Gloom
Vileplume,4,Castform; Type: Null; Ampharos; Vileplume
Paras,3,Castform; Mudkip; Paras
Parasect,3,Castform; Marowak; Parasect
Venonat,4,Castform; Ditto; Larvitar; Venonat
Venomoth,3,Castform; Thievul; Venomoth
Diglett,3,Castform; Poliwag; Diglett
Alolan Diglett,3,Castform; Poliwag; Alolan Diglett
Dugtrio,3,Castform; Alolan Dugtrio; Dugtrio
Alolan Dugtrio,2,Castform; Alolan Dugtrio
Meowth,3,Castform; Poliwag; Meowth
Alolan Meowth,3,Castform; Poliwag; Alolan Meowth
Galarian Meowth,4,Castform; Ditto; Chewtle; Galarian Meowth
Persian,2,Castform; Persian
Alolan Persian,3,Castform; Frogadier; Alolan Persian
Psyduck,4,Castform; Ditto; Skiddo; Psyduck
Golduck,4,Castform; Mew; Glalie; Golduck
Mankey,2,Castform; Mankey
Primeape,3,Castform; Alolan Dugtrio; Primeape
Growlithe,2,Castform; Growlithe
Hisuian Growlithe,3,Castform; Karrablast; Hisuian Growlithe
Arcanine,3,Castform; Mew; Arcanine
Hisuian Arcanine,4,Castform; Mew; Quaquaval; Hisuian Arcanine
Poliwag,2,Castform; Poliwag
Poliwhirl,3,Castform; Poliwag; Poliwhirl
Poliwrath,2,Castform; Poliwrath
Abra,4,Castform; Frogadier; Gastly; Abra
Kadabra,3,Castform; Ribombee; Kadabra
Alakazam,3,Castform; Mismagius; Alakazam
Mega Alakazam,3,Castform; Mismagius; Mega Alakazam
Machop,3,Castform; Rufflet; Machop
Machoke,2,Castform; Machoke
Machamp,3,Castform; Gourgeist Super Size; Machamp
